matchid,date,venue,innings,over,delivery,battingteam,bowlingteam,Column2,res,impbat,batters,bowlers,impbowl,wide,extras,noball,legbye,bye,batterrun,wicket,batterdismissed,dismissaltype,total,score,wicketfell,strategictimeout,battingposition,bowlerwicket,powerplay
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.1,RCB,MI,4,4,0,Smriti Mandhana,Shabnim Ismail,0,0,0,0,0,0,4,0,,,4,4,0,0.0,1.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.2,RCB,MI,1,1,0,Smriti Mandhana,Shabnim Ismail,0,0,0,0,0,0,1,0,,,1,5,0,0.0,1.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.3,RCB,MI,4,4,0,Sophie Devine,Shabnim Ismail,0,0,0,0,0,0,4,0,,,4,9,0,0.0,2.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.4,RCB,MI,4,4,0,Sophie Devine,Shabnim Ismail,0,0,0,0,0,0,4,0,,,4,13,0,0.0,2.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.5,RCB,MI,1,1,0,Sophie Devine,Shabnim Ismail,0,0,0,0,0,0,1,0,,,1,14,0,0.0,2.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.6,RCB,MI,0,0,0,Smriti Mandhana,Shabnim Ismail,0,0,0,0,0,0,0,0,,,0,14,0,0.0,1.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.1,RCB,MI,1,1,0,Sophie Devine,Hayley Matthews,0,0,0,0,0,0,1,0,,,1,15,0,0.0,2.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.2,RCB,MI,4,4,0,Smriti Mandhana,Hayley Matthews,0,0,0,0,0,0,4,0,,,4,19,0,0.0,1.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.3,RCB,MI,1,1,0,Smriti Mandhana,Hayley Matthews,0,0,0,0,0,0,1,0,,,1,20,0,0.0,1.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.4,RCB,MI,0,0,0,Sophie Devine,Hayley Matthews,0,0,0,0,0,0,0,0,,,0,20,0,0.0,2.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.5,RCB,MI,0,0,0,Sophie Devine,Hayley Matthews,0,0,0,0,0,0,0,0,,,0,20,0,0.0,2.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.6,RCB,MI,W,W,0,Sophie Devine,Hayley Matthews,0,0,0,0,0,0,0,1,Sophie Devine,Bowled,0,20,1,0.0,2.0,1.0,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.1,RCB,MI,0,0,0,Smriti Mandhana,Natalie Sciver-Brunt,0,0,0,0,0,0,0,0,,,0,20,1,0.0,1.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.2,RCB,MI,W,W,0,Smriti Mandhana,Natalie Sciver-Brunt,0,0,0,0,0,0,0,1,Smriti Mandhana,Caught Out,0,20,2,0.0,1.0,1.0,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.3,RCB,MI,0,0,0,Disha Kasat,Natalie Sciver-Brunt,0,0,0,0,0,0,0,0,,,0,20,2,0.0,4.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.4,RCB,MI,0,0,0,Disha Kasat,Natalie Sciver-Brunt,0,0,0,0,0,0,0,0,,,0,20,2,0.0,4.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.5,RCB,MI,1lb,1lb,0,Disha Kasat,Natalie Sciver-Brunt,0,0,1,0,1,0,0,0,,,1,21,2,0.0,4.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.6,RCB,MI,2,2,0,Ellyse Perry,Natalie Sciver-Brunt,0,0,0,0,0,0,2,0,,,2,23,2,0.0,3.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,4,3.1,RCB,MI,0,0,0,Disha Kasat,Saika Ishaque,0,0,0,0,0,0,0,0,,,0,23,2,0.0,4.0,,1
0,15-03-2024,"Arun Jaitley Stadium, Delhi",1,4,3.2,RCB,MI,0,0,0,Disha Kasat,Saika Ishaque,0,0,0,0,0,0,0,0,,,0,23,2,0.0,4.0,,1
