matchid,date,venue,innings,over,delivery,battingteam,bowlingteam,Column2,res,impbat,batters,bowlers,impbowl,wide,extras,noball,legbye,bye,batterrun,wicket,batterdismissed,dismissaltype,total,score,wicketfell,strategictimeout,battingposition,bowlerwicket
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.1,GG,DC,1,1,0,Laura Wolvaardt,Marizanne Kapp,0,0,0,0,0,0,1,0,,,1,1,0,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.2,GG,DC,0,0,0,Beth Mooney,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,1,0,0.0,2,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.3,GG,DC,0,0,0,Beth Mooney,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,1,0,0.0,2,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.4,GG,DC,0,0,0,Beth Mooney,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,1,0,0.0,2,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.5,GG,DC,0,0,0,Beth Mooney,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,1,0,0.0,2,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,1,0.6,GG,DC,W,W,0,Beth Mooney,Marizanne Kapp,0,0,0,0,0,0,0,1,,,0,1,1,0.0,2,1
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.1,GG,DC,0,0,0,Laura Wolvaardt,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,1,1,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.2,GG,DC,0,0,0,Laura Wolvaardt,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,1,1,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.3,GG,DC,0,0,0,Laura Wolvaardt,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,1,1,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.4,GG,DC,0,0,0,Laura Wolvaardt,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,1,1,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.5,GG,DC,4,4,0,Laura Wolvaardt,Shikha Pandey,0,0,0,0,0,0,4,0,,,4,5,1,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,2,1.6,GG,DC,0,0,0,Laura Wolvaardt,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,5,1,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.1,GG,DC,0,0,0,Dayalan Hemalatha,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,5,1,0.0,3,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.2,GG,DC,0,0,0,Dayalan Hemalatha,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,5,1,0.0,3,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.3,GG,DC,0,0,0,Dayalan Hemalatha,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,5,1,0.0,3,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.4,GG,DC,2,2,0,Dayalan Hemalatha,Marizanne Kapp,0,0,0,0,0,0,2,0,,,2,7,1,0.0,3,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.5,GG,DC,1lb,1lb,0,Dayalan Hemalatha,Marizanne Kapp,0,0,1,0,1,0,0,0,,,1,8,1,0.0,3,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,3,2.6,GG,DC,1,1,0,Laura Wolvaardt,Marizanne Kapp,0,0,0,0,0,0,1,0,,,1,9,1,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,4,3.1,GG,DC,1,1,0,Laura Wolvaardt,Jess Jonassen,0,0,0,0,0,0,1,0,,,1,10,1,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,4,3.2,GG,DC,2,2,0,Dayalan Hemalatha,Jess Jonassen,0,0,0,0,0,0,2,0,,,2,12,1,0.0,3,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,4,3.3,GG,DC,W,W,0,Dayalan Hemalatha,Jess Jonassen,0,0,0,0,0,0,0,1,,,0,12,2,0.0,3,1
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,4,3.4,GG,DC,0,0,0,Phoebe Litchfield,Jess Jonassen,0,0,0,0,0,0,0,0,,,0,12,2,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,4,3.5,GG,DC,4,4,0,Phoebe Litchfield,Jess Jonassen,0,0,0,0,0,0,4,0,,,4,16,2,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,4,3.6,GG,DC,0,0,0,Phoebe Litchfield,Jess Jonassen,0,0,0,0,0,0,0,0,,,0,16,2,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,5,4.1,GG,DC,0,0,0,Laura Wolvaardt,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,16,2,0.0,1,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,5,4.2,GG,DC,W,W,0,Laura Wolvaardt,Marizanne Kapp,0,0,0,0,0,0,0,1,,,0,16,3,0.0,1,1
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,5,4.3,GG,DC,4,4,0,Ashleigh Gardner,Marizanne Kapp,0,0,0,0,0,0,4,0,,,4,20,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,5,4.4,GG,DC,0,0,0,Ashleigh Gardner,Marizanne Kapp,0,1,1,0,0,0,0,0,,,1,21,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,5,4.5,GG,DC,0,0,0,Ashleigh Gardner,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,21,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,5,4.6,GG,DC,0,0,0,Ashleigh Gardner,Marizanne Kapp,0,0,0,0,0,0,0,0,,,0,21,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,6,5.1,GG,DC,0,0,0,Phoebe Litchfield,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,21,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,6,5.2,GG,DC,0,0,0,Phoebe Litchfield,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,21,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,6,5.3,GG,DC,0,0,0,Phoebe Litchfield,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,21,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,6,5.4,GG,DC,0,0,0,Phoebe Litchfield,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,21,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,6,5.5,GG,DC,2,2,0,Phoebe Litchfield,Shikha Pandey,0,0,0,0,0,0,2,0,,,2,23,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,6,5.6,GG,DC,0,0,0,Phoebe Litchfield,Shikha Pandey,0,0,0,0,0,0,0,0,,,0,23,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,7,6.1,GG,DC,4,4,0,Ashleigh Gardner,Radha Yadav,0,0,0,0,0,0,4,0,,,4,27,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,7,6.2,GG,DC,1,1,0,Ashleigh Gardner,Radha Yadav,0,0,0,0,0,0,1,0,,,1,28,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,7,6.3,GG,DC,0,0,0,Phoebe Litchfield,Radha Yadav,0,0,0,0,0,0,0,0,,,0,28,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,7,6.4,GG,DC,1,1,0,Phoebe Litchfield,Radha Yadav,0,0,0,0,0,0,1,0,,,1,29,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,7,6.5,GG,DC,1,1,0,Ashleigh Gardner,Radha Yadav,0,0,0,0,0,0,1,0,,,1,30,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,7,6.6,GG,DC,0,0,0,Phoebe Litchfield,Radha Yadav,0,0,0,0,0,0,0,0,,,0,30,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,8,7.1,GG,DC,1,1,0,Ashleigh Gardner,Arundhati Reddy,0,0,0,0,0,0,1,0,,,1,31,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,8,7.2,GG,DC,0,0,0,Phoebe Litchfield,Arundhati Reddy,0,0,0,0,0,0,0,0,,,0,31,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,8,7.3,GG,DC,4,4,0,Phoebe Litchfield,Arundhati Reddy,0,0,0,0,0,0,4,0,,,4,35,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,8,7.4,GG,DC,1,1,0,Phoebe Litchfield,Arundhati Reddy,0,0,0,0,0,0,1,0,,,1,36,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,8,7.5,GG,DC,1,1,0,Ashleigh Gardner,Arundhati Reddy,0,0,0,0,0,0,1,0,,,1,37,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,8,7.6,GG,DC,1,1,0,Phoebe Litchfield,Arundhati Reddy,0,0,0,0,0,0,1,0,,,1,38,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,9,8.1,GG,DC,1,1,0,Phoebe Litchfield,Minnu Mani,0,0,0,0,0,0,1,0,,,1,39,3,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,9,8.2,GG,DC,0,0,0,Ashleigh Gardner,Minnu Mani,0,0,0,0,0,0,0,0,,,0,39,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,9,8.3,GG,DC,0,0,0,Ashleigh Gardner,Minnu Mani,0,0,0,0,0,0,0,0,,,0,39,3,0.0,5,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,9,8.4,GG,DC,W,W,0,Ashleigh Gardner,Minnu Mani,0,0,0,0,0,0,0,1,,,0,39,4,0.0,5,1
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,9,8.5,GG,DC,0,0,0,Bharti Fulmali,Minnu Mani,0,0,0,0,0,0,0,0,,,0,39,4,0.0,6,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,9,8.6,GG,DC,0,0,0,Bharti Fulmali,Minnu Mani,0,0,0,0,0,0,0,0,,,0,39,4,0.0,6,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,10,9.1,GG,DC,0,0,0,Phoebe Litchfield,Alice Capsey,0,0,0,0,0,0,0,0,,,0,39,4,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,10,9.2,GG,DC,0,0,0,Phoebe Litchfield,Alice Capsey,0,0,0,0,0,0,0,0,,,0,39,4,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,10,9.3,GG,DC,1,1,0,Phoebe Litchfield,Alice Capsey,0,0,0,0,0,0,1,0,,,1,40,4,0.0,4,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,10,9.4,GG,DC,0,0,0,Bharti Fulmali,Alice Capsey,0,0,0,0,0,0,0,0,,,0,40,4,0.0,6,
0,13-03-2024,"Arun Jaitley Stadium, Delhi",1,10,9.5,GG,DC,2,2,0,Bharti Fulmali,Alice Capsey,0,0,0,0,0,0,2,0,,,2,42,4,0.0,6,
