"Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality"
"MS Dhoni,Chennai Super Kings Squad,Right,Right,Pacer,Indian"
"Aravelly Avanish,Chennai Super Kings Squad,Left,,,Indian"
"Devon Conway,Chennai Super Kings Squad,Left,Right,Pacer,International"
"Ruturaj Gaikwad,Chennai Super Kings Squad,Right,Right,Finger Spinners,Indian"
"Ajinkya Rahane,Chennai Super Kings Squad,Right,Right,Pacer,Indian"
"Shaik Rasheed,Chennai Super Kings Squad,Right,Right,Wrist Spinners,Indian"
"Moeen Ali,Chennai Super Kings Squad,Left,Right,Finger Spinners,International"
"Shivam Dube,Chennai Super Kings Squad,Left,Right,Pacer,Indian"
"Rajvardhan Hangargekar,Chennai Super Kings Squad,Right,Right,Pacer,Indian"
"Ravindra Jadeja,Chennai Super Kings Squad,Left,Left,Finger Spinners,Indian"
"Ajay Mandal,Chennai Super Kings Squad,Left,Left,Finger Spinners,Indian"
"Daryl Mitchell,Chennai Super Kings Squad,Right,Right,Pacer,International"
"Rachin Ravindra,Chennai Super Kings Squad,Left,Left,Finger Spinners,International"
"Mitchell Santner,Chennai Super Kings Squad,Left,Left,Finger Spinners,International"
"Nishant Sindhu,Chennai Super Kings Squad,Left,Left,Finger Spinners,Indian"
"Deepak Chahar,Chennai Super Kings Squad,Right,Right,Pacer,Indian"
"Tushar Deshpande,Chennai Super Kings Squad,Left,Right,Pacer,Indian"
"Mukesh Choudhary,Chennai Super Kings Squad,Left,Left,Pacer,Indian"
"Mustafizur Rahman,Chennai Super Kings Squad,Left,Left,Pacer,International"
"Matheesha Pathirana,Chennai Super Kings Squad,Right,Right,Pacer,International"
"Simarjeet Singh,Chennai Super Kings Squad,Right,Right,Pacer,Indian"
"Prashant Solanki,Chennai Super Kings Squad,Right,Right,Wrist Spinners,Indian"
"Shardul Thakur,Chennai Super Kings Squad,Right,Right,Pacer,Indian"
"Maheesh Theekshana,Chennai Super Kings Squad,Right,Right,Finger Spinners,International"
"Rishabh Pant,Delhi Capitals Squad,Left,,,Indian"
"Abishek Porel,Delhi Capitals Squad,Left,,,Indian"
"Ricky Bhui,Delhi Capitals Squad,Right,Right,Wrist Spinners,Indian"
"Harry Brook,Delhi Capitals Squad,Right,Right,Pacer,International"
"Yash Dhull,Delhi Capitals Squad,Right,Right,Finger Spinners,Indian"
"Shai Hope,Delhi Capitals Squad,Right,,,International"
"Prithvi Shaw,Delhi Capitals Squad,Right,Right,Finger Spinners,Indian"
"Tristan Stubbs,Delhi Capitals Squad,Right,Right,Finger Spinners,International"
"David Warner,Delhi Capitals Squad,Left,Right,Wrist Spinners,International"
"Lalit Yadav,Delhi Capitals Squad,Right,Right,Finger Spinners,Indian"
"Mitchell Marsh,Delhi Capitals Squad,Right,Right,Pacer,International"
"Axar Patel,Delhi Capitals Squad,Left,Left,Finger Spinners,Indian"
"Sumit Kumar,Delhi Capitals Squad,Right,Right,Pacer,Indian"
"Khaleel Ahmed,Delhi Capitals Squad,Right,Left,Pacer,Indian"
"Praveen Dubey,Delhi Capitals Squad,Right,Right,Wrist Spinners,Indian"
"Kuldeep Yadav,Delhi Capitals Squad,Left,Left,Wrist Spinners,Indian"
"Mukesh Kumar,Delhi Capitals Squad,Right,Right,Pacer,Indian"
"Lungi Ngidi,Delhi Capitals Squad,Right,Right,Pacer,International"
"Anrich Nortje,Delhi Capitals Squad,Right,Right,Pacer,International"
"Vicky Ostwal,Delhi Capitals Squad,Right,Left,Finger Spinners,Indian"
"Rasikh Salam,Delhi Capitals Squad,Right,Right,Pacer,Indian"
"Jhye Richardson,Delhi Capitals Squad,Right,Right,Pacer,International"
"Ishant Sharma,Delhi Capitals Squad,Right,Right,Pacer,Indian"
"Shubman Gill,Gujarat Titans Squad,Right,Right,Finger Spinners,Indian"
"David Miller,Gujarat Titans Squad,Left,Right,Finger Spinners,International"
"Robin Minz,Gujarat Titans Squad,Left,Left,Finger Spinners,Indian"
