Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality,Team Acronym
MS Dhoni,Chennai Super Kings Squad,Right,Right,Pacer,Indian,CSK
Aravelly Avanish,Chennai Super Kings Squad,Left,,,Indian,CSK
Devon Conway,Chennai Super Kings Squad,Left,Right,Pacer,International,CSK
Ruturaj Gaikwad,Chennai Super Kings Squad,Right,Right,Finger Spinners,Indian,CSK
Ajinkya Rahane,Chennai Super Kings Squad,Right,Right,Pacer,Indian,CSK
Shaik Rasheed,Chennai Super Kings Squad,Right,Right,Wrist Spinners,Indian,CSK
Moeen Ali,Chennai Super Kings Squad,Left,Right,Finger Spinners,International,CSK
Shivam Dube,Chennai Super Kings Squad,Left,Right,Pacer,Indian,CSK
Rajvardhan Hangargekar,Chennai Super Kings Squad,Right,Right,Pacer,Indian,CSK
Ravindra Jadeja,Chennai Super Kings Squad,Left,Left,Finger Spinners,Indian,CSK
Ajay Mandal,Chennai Super Kings Squad,Left,Left,Finger Spinners,Indian,CSK
Daryl Mitchell,Chennai Super Kings Squad,Right,Right,Pacer,International,CSK
Rachin Ravindra,Chennai Super Kings Squad,Left,Left,Finger Spinners,International,CSK
Mitchell Santner,Chennai Super Kings Squad,Left,Left,Finger Spinners,International,CSK
Nishant Sindhu,Chennai Super Kings Squad,Left,Left,Finger Spinners,Indian,CSK
Deepak Chahar,Chennai Super Kings Squad,Right,Right,Pacer,Indian,CSK
Tushar Deshpande,Chennai Super Kings Squad,Left,Right,Pacer,Indian,CSK
Mukesh Choudhary,Chennai Super Kings Squad,Left,Left,Pacer,Indian,CSK
Mustafizur Rahman,Chennai Super Kings Squad,Left,Left,Pacer,International,CSK
Matheesha Pathirana,Chennai Super Kings Squad,Right,Right,Pacer,International,CSK
Simarjeet Singh,Chennai Super Kings Squad,Right,Right,Pacer,Indian,CSK
Prashant Solanki,Chennai Super Kings Squad,Right,Right,Wrist Spinners,Indian,CSK
Shardul Thakur,Chennai Super Kings Squad,Right,Right,Pacer,Indian,CSK
Maheesh Theekshana,Chennai Super Kings Squad,Right,Right,Finger Spinners,International,CSK
Rishabh Pant,Delhi Capitals Squad,Left,,,Indian,DC
Abishek Porel,Delhi Capitals Squad,Left,,,Indian,DC
Ricky Bhui,Delhi Capitals Squad,Right,Right,Wrist Spinners,Indian,DC
