player,battinghand,bowlinghand,bowlingtype,nationality,team
MS Dhoni,Right,Right,Pacer,Indian,CSK
Aravelly Avanish,Left,,,Indian,CSK
Devon Conway,Left,Right,Pacer,International,CSK
Ruturaj Gaikwad,Right,Right,Finger Spinners,Indian,CSK
Ajinkya Rahane,Right,Right,Pacer,Indian,CSK
Shaik Rasheed,Right,Right,Wrist Spinners,Indian,CSK
Moeen Ali,Left,Right,Finger Spinners,International,CSK
Shivam Dube,Left,Right,Pacer,Indian,CSK
Rajvardhan Hangargekar,Right,Right,Pacer,Indian,CSK
Ravindra Jadeja,Left,Left,Finger Spinners,Indian,CSK
Ajay Mandal,Left,Left,Finger Spinners,Indian,CSK
Daryl Mitchell,Right,Right,Pacer,International,CSK
Rachin Ravindra,Left,Left,Finger Spinners,International,CSK
Mitchell Santner,Left,Left,Finger Spinners,International,CSK
Nishant Sindhu,Left,Left,Finger Spinners,Indian,CSK
Deepak Chahar,Right,Right,Pacer,Indian,CSK
Tushar Deshpande,Left,Right,Pacer,Indian,CSK
Mukesh Choudhary,Left,Left,Pacer,Indian,CSK
Mustafizur Rahman,Left,Left,Pacer,International,CSK
Matheesha Pathirana,Right,Right,Pacer,International,CSK
Simarjeet Singh,Right,Right,Pacer,Indian,CSK
Prashant Solanki,Right,Right,Wrist Spinners,Indian,CSK
Shardul Thakur,Right,Right,Pacer,Indian,CSK
Maheesh Theekshana,Right,Right,Finger Spinners,International,CSK
Rishabh Pant,Left,,,Indian,DC
Abishek Porel,Left,,,Indian,DC
Ricky Bhui,Right,Right,Wrist Spinners,Indian,DC
Harry Brook,Right,Right,Pacer,International,DC
Yash Dhull,Right,Right,Finger Spinners,Indian,DC
Shai Hope,Right,,,International,DC
Prithvi Shaw,Right,Right,Finger Spinners,Indian,DC
Tristan Stubbs,Right,Right,Finger Spinners,International,DC
David Warner,Left,Right,Wrist Spinners,International,DC
Lalit Yadav,Right,Right,Finger Spinners,Indian,DC
Mitchell Marsh,Right,Right,Pacer,International,DC
Axar Patel,Left,Left,Finger Spinners,Indian,DC
Sumit Kumar,Right,Right,Pacer,Indian,DC
Khaleel Ahmed,Right,Left,Pacer,Indian,DC
Praveen Dubey,Right,Right,Wrist Spinners,Indian,DC
Kuldeep Yadav,Left,Left,Wrist Spinners,Indian,DC
Mukesh Kumar,Right,Right,Pacer,Indian,DC
Lungi Ngidi,Right,Right,Pacer,International,DC
Anrich Nortje,Right,Right,Pacer,International,DC
Vicky Ostwal,Right,Left,Finger Spinners,Indian,DC
Rasikh Salam,Right,Right,Pacer,Indian,DC
Jhye Richardson,Right,Right,Pacer,International,DC
Ishant Sharma,Right,Right,Pacer,Indian,DC
Shubman Gill,Right,Right,Finger Spinners,Indian,GT
David Miller,Left,Right,Finger Spinners,International,GT
Robin Minz,Left,Left,Finger Spinners,Indian,GT
Wriddhiman Saha,Right,,,Indian,GT
Sai Sudharsan,Left,Right,Wrist Spinners,Indian,GT
M Shahrukh Khan,Right,Right,Finger Spinners,Indian,GT
Matthew Wade,Left,Right,Pacer,International,GT
Kane Williamson,Right,Right,Finger Spinners,International,GT
Azmatullah Omarzai,Right,Right,Pacer,International,GT
Abhinav Manohar,Right,Right,Wrist Spinners,Indian,GT
Rashid Khan,Right,Right,Wrist Spinners,International,GT
Vijay Shankar,Right,Right,Pacer,Indian,GT
Manav Suthar,Left,Left,Finger Spinners,Indian,GT
Rahul Tewatia,Left,Right,Wrist Spinners,Indian,GT
Spencer Johnson,Left,Left,Pacer,International,GT
Kartik Tyagi,Right,Right,Pacer,Indian,GT
Josh Little,Right,Left,Pacer,International,GT
Mohammed Shami,Right,Right,Pacer,Indian,GT
Darshan Nalkande,Right,Right,Pacer,Indian,GT
Noor Ahmad,Right,Left,Wrist Spinners,International,GT
Sai Kishore,Left,Left,Finger Spinners,Indian,GT
Mohit Sharma,Right,Right,Pacer,Indian,GT
Jayant Yadav,Right,Right,Finger Spinners,Indian,GT
Umesh Yadav,Right,Right,Pacer,Indian,GT
Shreyas Iyer,Right,Right,Finger Spinners,Indian,KKR
Srikar Bharat,Right,,,Indian,KKR
Manish Pandey,Right,Right,Pacer,Indian,KKR
Rahmanullah Gurbaz,Right,,,International,KKR
Ramandeep Singh,Right,Right,Pacer,Indian,KKR
Nitish Rana,Left,Right,Pacer,Indian,KKR
Sherfane Rutherford,Left,Right,Pacer,International,KKR
Phil Salt,Right,Right,Finger Spinners,International,KKR
Rinku Singh,Left,Right,Finger Spinners,Indian,KKR
Jason Roy,Right,,,International,KKR
Venkatesh Iyer,Left,Right,Pacer,Indian,KKR
Sunil Narine,Left,Right,Finger Spinners,International,KKR
Anukul Roy,Left,Left,Finger Spinners,Indian,KKR
Andre Russell,Right,Right,Pacer,International,KKR
Vaibhav Arora,Right,Right,Pacer,Indian,KKR
Dushmantha Chameera,Right,Right,Pacer,International,KKR
Harshit Rana,Right,Right,Pacer,Indian,KKR
Mujeeb Ur Rahman,Right,Right,Finger Spinners,International,KKR
Chetan Sakariya,Left,Left,Pacer,Indian,KKR
Mitchell Starc,Left,Left,Pacer,International,KKR
Suyash Sharma,Right,Right,Wrist Spinners,Indian,KKR
Varun Chakravarthy,Right,Right,Wrist Spinners,Indian,KKR
Gus Atkinson,Right,Right,Pacer,International,KKR
KL Rahul,Right,,,Indian,LSG
Ayush Badoni,Right,Right,Finger Spinners,Indian,LSG
Quinton de Kock,Left,,,International,LSG
Devdutt Padikkal,Left,Right,Finger Spinners,Indian,LSG
Nicholas Pooran,Left,Right,Finger Spinners,International,LSG
Ashton Turner,Right,Right,Finger Spinners,International,LSG
Krishnappa Gowtham,Right,Right,Finger Spinners,Indian,LSG
Deepak Hooda,Right,Right,Finger Spinners,Indian,LSG
Arshin Kulkarni,Right,Right,Pacer,Indian,LSG
Prerak Mankad,Right,Right,Pacer,Indian,LSG
Kyle Mayers,Left,Right,Pacer,International,LSG
